Symbol,ArzeshKole,userid,tradedate,karmozd
نوری,35280000,7801,7/4/2021,107251
نوری,42600600,7801,7/4/2021,129506
نوری,10325250,7801,7/4/2021,31389
نوری,88250000,7801,7/4/2021,268280
کویر,126408000,40674,7/4/2021,384280
کویر,11592000,40674,7/4/2021,35240
کویر,5544000,40674,7/4/2021,16854
برکت,80390820,12096,7/4/2021,244388
کویر,54483660,40674,7/4/2021,165630
کویر,83586600,40674,7/4/2021,254103
کویر,165600,40674,7/4/2021,503
حفارس,37835756,30255,7/4/2021,115021
کویر,95013000,40674,7/4/2021,288840
کویر,95178600,40674,7/4/2021,289343
کویر,223808400,40674,7/4/2021,680378
کویر,20805000,40674,7/4/2021,63247
کویر,30278210,40674,7/4/2021,92046
بوعلی,231060500,13302,7/4/2021,702424
کویر,10208320,40674,7/4/2021,31033
کویر,127843200,40674,7/4/2021,388643
وبملت,19675000,22283,7/4/2021,59812
کویر,27600000,40674,7/4/2021,83904
کویر,13344600,40674,7/4/2021,40568
کویر,13703400,40674,7/4/2021,41658
کرماشا,36630000,2061,7/4/2021,111355
کویر,5544000,40674,7/4/2021,16854
کویر,5128200,40674,7/4/2021,15590
کویر,13860000,40674,7/4/2021,42134
کویر,8316000,40674,7/4/2021,25281
کویر,13860000,40674,7/4/2021,42134
کویر,13860000,40674,7/4/2021,42134
خموتور,8900000,13127,7/4/2021,27056
کویر,12293820,40674,7/4/2021,37373
کویر,310669760,40674,7/4/2021,944436
کویر,378892800,40674,7/4/2021,1151834
کویر,197252160,40674,7/4/2021,599647
کویر,132563270,40674,7/4/2021,402992
کویر,16203250,40674,7/4/2021,49258
خموتور,11392000,13127,7/4/2021,34632
شاوان,7909100,9863,7/4/2021,24044
شاوان,7909100,9863,7/4/2021,24044
برکت,86159330,24976,7/4/2021,261924
برکت,61574880,24976,7/4/2021,187188
برکت,349139700,24976,7/4/2021,1061385
فملی,11830000,19932,7/4/2021,35963
کساپا,42594450,28775,7/4/2021,129487
کویر,13850000,40674,7/4/2021,42104
کویر,69250000,40674,7/4/2021,210520
پالایش,69000,25858,7/4/2021,66
پالایش,96600000,28659,7/4/2021,91770
کساپا,7287350,28775,7/4/2021,22154
کساپا,27753950,28775,7/4/2021,84372
کویر,13850000,40674,7/4/2021,42104
کویر,7243550,40674,7/4/2021,22020
کویر,283724600,40674,7/4/2021,862523
کویر,361102780,40674,7/4/2021,1097752
کویر,310444800,40674,7/4/2021,943752
کویر,95537400,40674,7/4/2021,290434
کویر,253009200,40674,7/4/2021,769148
پتایر,8100000,23188,7/4/2021,24624
پتایر,8100000,8707,7/4/2021,24624
کساپا,5537500,28775,7/4/2021,16834
کویر,34969200,40674,7/4/2021,106306
حفارس,62945870,30255,7/4/2021,191355
کویر,17055350,40674,7/4/2021,51848
کساپا,8062600,28775,7/4/2021,24510
شاروم,7565000,9864,7/4/2021,22998
کویر,13820000,40674,7/4/2021,42013
کویر,13820000,40674,7/4/2021,42013
کویر,13820000,40674,7/4/2021,42013
کویر,13820000,40674,7/4/2021,42013
کویر,86789600,40674,7/4/2021,263840
کویر,13820000,40674,7/4/2021,42013
کویر,13820000,40674,7/4/2021,42013
کویر,13820000,40674,7/4/2021,42013
کویر,13820000,40674,7/4/2021,42013
کویر,13820000,40674,7/4/2021,42013
کویر,5044300,40674,7/4/2021,15335
سرچشمه,17600000,40390,7/4/2021,53504
غپاک,212000000,117,7/4/2021,644480
غپاک,91914240,117,7/4/2021,279419
کویر,5393700,40674,7/4/2021,16397
خکاوه,181500000,259,7/4/2021,551760
غپاک,180766080,117,7/4/2021,549529
کویر,138300000,40674,7/4/2021,420432
کویر,86091750,40674,7/4/2021,261719
کویر,52208250,40674,7/4/2021,158713
زبینا,21680890,70163,7/4/2021,65910
غپاک,211200000,117,7/4/2021,642048
غپاک,211200000,117,7/4/2021,642048
غپاک,39642240,117,7/4/2021,120512
غپاک,107881250,117,7/4/2021,327959
سشرق,6310000,9863,7/4/2021,19182
کویر,13840000,40674,7/4/2021,42074
کنور,262095000,40866,7/4/2021,796769
کویر,41464640,40674,7/4/2021,126053
کویر,35487780,40674,7/4/2021,107883
رمپنا,13150000,32025,7/4/2021,39976
زبینا,4219110,70163,7/4/2021,12826
پتایر,6707500,8707,7/4/2021,20391
کویر,61377540,40674,7/4/2021,186588
کویر,13840000,40674,7/4/2021,42074
کویر,13840000,40674,7/4/2021,42074
آتیمس,53010000,40674,7/4/2021,50360
پتایر,6707500,23188,7/4/2021,20391
کویر,13840000,40674,7/4/2021,42074
کویر,13840000,40674,7/4/2021,42074
کویر,13840000,40674,7/4/2021,42074
کرمان,49800000,979,7/4/2021,151392
وآیند,5710000,1975,7/4/2021,17358
کنور,49512600,40866,7/4/2021,150518
همراه,5998740,69344,7/4/2021,18236
کنور,103800000,40866,7/4/2021,315552
دلقما,97290000,1037,7/4/2021,295762
کنور,49927800,40866,7/4/2021,151781
کویر,6287900,40674,7/4/2021,19115
کویر,55400000,40674,7/4/2021,168416
کویر,11855600,40674,7/4/2021,36041
شتران,218704500,31804,7/4/2021,664862
شتران,331495500,31804,7/4/2021,1007746
کویر,46640800,40674,7/4/2021,141788
کویر,1994400,40674,7/4/2021,6063
کویر,13850000,40674,7/4/2021,42104
آتیمس,183600000,40674,7/4/2021,174420
کویر,32658300,40674,7/4/2021,99281
کویر,109308320,40674,7/4/2021,332297
کویر,134856960,40674,7/4/2021,409965
ولکار,7996000,29840,7/4/2021,24308
تاصیکو,19780000,32025,7/4/2021,60131
کویر,13850000,40674,7/4/2021,42104
کویر,13850000,40674,7/4/2021,42104
کویر,13850000,40674,7/4/2021,42104
کویر,8171500,40674,7/4/2021,24841
شپترو,16417216,30413,7/4/2021,49908
شپترو,40873984,30413,7/4/2021,124257
کرمان,12490000,14472,7/4/2021,37970
کرمان,183198750,14472,7/4/2021,556924
کرمان,33183750,14472,7/4/2021,100879
کویر,3792160,40674,7/4/2021,11528
سبزوا,5094000,20092,7/4/2021,15486
سرچشمه,9975680,40390,7/4/2021,30326
کویر,69200000,40674,7/4/2021,210368
وپویا,1007600,68,7/4/2021,3063
کویر,203572560,40674,7/4/2021,618861
وپویا,1007600,68,7/4/2021,3063
ستران,103900000,31807,7/4/2021,315856
وپویا,1007600,68,7/4/2021,3063
وپویا,1003200,68,7/4/2021,3050
خاور,36000000,27142,7/4/2021,109440
کنور,49305000,40866,7/4/2021,149887
بالاس,6301836,13246,7/4/2021,19158
سرچشمه,21120000,40390,7/4/2021,64205
بالاس,26350164,13246,7/4/2021,80104
ثفارس,7520000,24558,7/4/2021,22861
شسینا,8802000,2061,7/4/2021,26758
تاصیکو,1980000,32025,7/4/2021,6019
غالبر,114996360,117,7/4/2021,349589
غالبر,146430000,117,7/4/2021,445147
شتران,27330000,3197,7/4/2021,83083
سرچشمه,204160,40390,7/4/2021,621
سرچشمه,59755000,40390,7/4/2021,181655
سرچشمه,93203740,40390,7/4/2021,283339
سرچشمه,93203740,40390,7/4/2021,283339
سرچشمه,111594220,40390,7/4/2021,339246
سرچشمه,111594220,40390,7/4/2021,339246
سرچشمه,66785000,40390,7/4/2021,203026
سرچشمه,106704000,40390,7/4/2021,324380
سرچشمه,154440000,40390,7/4/2021,469498
سرچشمه,154440000,40390,7/4/2021,469498
سرچشمه,31639140,40390,7/4/2021,96183
سشرق,13145600,9864,7/4/2021,39963
کویر,1894710,40674,7/4/2021,5760
غبهار,99402082,23646,7/4/2021,302182
کویر,13830000,40674,7/4/2021,42043
کویر,1894710,40674,7/4/2021,5760
کویر,41490000,40674,7/4/2021,126130
وپویا,1003200,68,7/4/2021,3050
کویر,48474150,40674,7/4/2021,147361
کویر,69150,40674,7/4/2021,210
سشرق,758400,9864,7/4/2021,2306
کویر,77337360,40674,7/4/2021,235106
وپویا,30800,68,7/4/2021,94
غالبر,103512500,117,7/4/2021,314678
غالبر,31297500,117,7/4/2021,95144
غالبر,4875000,117,7/4/2021,14820
وخارزم,7509990,2061,7/4/2021,22830
وخارزم,5010,2061,7/4/2021,15
غالبر,8775000,117,7/4/2021,26676
غالبر,13763750,117,7/4/2021,41842
پتایر,6675000,8707,7/4/2021,20292
غشاذر,35950000,23646,7/4/2021,109288
غشاذر,96796800,23646,7/4/2021,294262
تاصیکو,17820000,32025,7/4/2021,54173
کویر,138300000,40674,7/4/2021,420432
کویر,138300000,40674,7/4/2021,420432
کویر,28586610,40674,7/4/2021,86903
کویر,40867650,40674,7/4/2021,124238
کویر,40867650,40674,7/4/2021,124238
ثفارس,7530000,24558,7/4/2021,22891
غمارگ,5425000,24151,7/4/2021,16492
کویر,33140360,40674,7/4/2021,100747
کویر,152227300,40674,7/4/2021,462771
کویر,94100380,40674,7/4/2021,286065
کویر,142235440,40674,7/4/2021,432396
کویر,138200000,40674,7/4/2021,420128
کویر,194864700,40674,7/4/2021,592389
کویر,33814350,40674,7/4/2021,102796
کویر,128249600,40674,7/4/2021,389879
کویر,138200000,40674,7/4/2021,420128
کویر,100336650,40674,7/4/2021,305023
نوری,88000000,506,7/4/2021,267520
کویر,11332400,40674,7/4/2021,34450
وآوا,5521000,688,7/4/2021,16784
کویر,4149000,40674,7/4/2021,12613
کویر,67767000,40674,7/4/2021,206012
شپنا,62687280,4184,7/4/2021,190569
شپنا,59600000,4184,7/4/2021,181184
کویر,10787400,40674,7/4/2021,32794
شپنا,39336000,4184,7/4/2021,119581
شپنا,37559920,4184,7/4/2021,114182
سیمرغ,4905860,41206,7/4/2021,14914
وآیند,5690500,1975,7/4/2021,17299
ستران,48020240,31807,7/4/2021,145982
وآوا,5521000,688,7/4/2021,16784
کویر,184040940,40674,7/4/2021,559484
وآوا,5521000,688,7/4/2021,16784
فگستر,348516,14588,7/4/2021,1059
فگستر,348516,14588,7/4/2021,1059
فگستر,4311272,14588,7/4/2021,13106
ثبهساز,99935530,23646,7/4/2021,303804
کنور,4359600,40866,7/4/2021,13253
کویر,13810000,40674,7/4/2021,41982
سرچشمه,7020,40390,7/4/2021,21
سیمرغ,74770420,41206,7/4/2021,227302
ستران,5130190,31807,7/4/2021,15596
کویر,21143110,40674,7/4/2021,64275
ستران,4154000,31807,7/4/2021,12628
وآوا,11318050,688,7/4/2021,34407
سشمال,8550000,9863,7/4/2021,25992
کویر,61385450,40674,7/4/2021,186612
کویر,121790390,40674,7/4/2021,370243
کویر,82100450,40674,7/4/2021,249585
کویر,14238110,40674,7/4/2021,43284
کویر,13810000,40674,7/4/2021,41982
کویر,30417820,40674,7/4/2021,92470
کویر,21021600,40674,7/4/2021,63906
کویر,3153240,40674,7/4/2021,9586
کویر,614514000,40674,7/4/2021,1868123
کویر,82524000,40674,7/4/2021,250873
ثباغ,6990699,12058,7/4/2021,21252
کویر,182560200,40674,7/4/2021,554983
غالبر,162200000,117,7/4/2021,493088
غالبر,162100000,117,7/4/2021,492784
غالبر,162000000,117,7/4/2021,492480
کویر,28345200,40674,7/4/2021,86169
کویر,2014800,40674,7/4/2021,6125
سشمال,17200000,8464,7/4/2021,52288
سرچشمه,28023840,40390,7/4/2021,85192
سرچشمه,95069620,40390,7/4/2021,289012
سیمرغ,223720,41206,7/4/2021,680
کنور,973750,40866,7/4/2021,2960
غالبر,96084800,117,7/4/2021,292098
غالبر,16100000,117,7/4/2021,48944
کویر,62100000,40674,7/4/2021,188784
کویر,138000000,40674,7/4/2021,419520
فگستر,3794350,16236,7/4/2021,11535
فگستر,349650,16236,7/4/2021,1063
فگستر,349650,16236,7/4/2021,1063
فگستر,349650,16236,7/4/2021,1063
فگستر,362600,16236,7/4/2021,1102
فگستر,362600,16236,7/4/2021,1102
فگستر,362600,16236,7/4/2021,1102
فگستر,362600,16236,7/4/2021,1102
فگستر,116550,16236,7/4/2021,354
کویر,93246600,40674,7/4/2021,283470
دانا,9580000,9863,7/4/2021,29123
غالبر,6762000,117,7/4/2021,20556
نوین,42579000,70163,7/4/2021,129440
دبالک,156350000,40511,7/4/2021,475304
غالبر,5232500,117,7/4/2021,15907
غالبر,19078500,117,7/4/2021,57999
کویر,94640400,40674,7/4/2021,287707
کویر,5382000,40674,7/4/2021,16361
خکار,34900000,8465,7/4/2021,106096
کویر,3436200,40674,7/4/2021,10446
کویر,65516290,40674,7/4/2021,199170
کویر,13820000,40674,7/4/2021,42013
کویر,13820000,40674,7/4/2021,42013
دتولید,138380000,40511,7/4/2021,420675
وآوا,33180000,16361,7/4/2021,100867
سشرق,5048000,9863,7/4/2021,15346
کویر,75968540,40674,7/4/2021,230944
کویر,295754130,40674,7/4/2021,899093
دانا,20358450,8464,7/4/2021,61890
کویر,268146550,40674,7/4/2021,815166
کویر,27560000,40674,7/4/2021,83782
کویر,126357770,40674,7/4/2021,384128
سرچشمه,14020000,40390,7/4/2021,42621
کویر,253882720,40674,7/4/2021,771803
کویر,165883640,40674,7/4/2021,504286
ثباغ,23012301,12058,7/4/2021,69957
کویر,269233640,40674,7/4/2021,818470
کویر,349907460,40674,7/4/2021,1063719
کویر,97274660,40674,7/4/2021,295715
سرچشمه,67982980,40390,7/4/2021,206668
مادیرا,15480000,6380,7/4/2021,47059
دانا,5269000,9863,7/4/2021,16018
سرچشمه,21030000,40390,7/4/2021,63931
سرچشمه,7010000,40390,7/4/2021,21310
اپرداز,76315400,40674,7/4/2021,231999
کویر,5528000,40674,7/4/2021,16805
شپنا,119100000,21409,7/4/2021,362064
کویر,5528000,40674,7/4/2021,16805
کویر,3828140,40674,7/4/2021,11638
کویر,33776080,40674,7/4/2021,102679
سرچشمه,6995980,40390,7/4/2021,21268
سرچشمه,35064020,40390,7/4/2021,106595
کویر,33776080,40674,7/4/2021,102679
ومدیر,9348000,9388,7/4/2021,28418
ومدیر,1472000,9388,7/4/2021,4475
پخش,185010000,40511,7/4/2021,562430
ومدیر,1468000,9388,7/4/2021,4463
ومدیر,512000,9388,7/4/2021,1556
کویر,33776080,40674,7/4/2021,102679
کویر,5403620,40674,7/4/2021,16427
کویر,5528000,40674,7/4/2021,16805
کویر,13820000,40674,7/4/2021,42013
کویر,5528000,40674,7/4/2021,16805
کویر,3496460,40674,7/4/2021,10629
کویر,2031540,40674,7/4/2021,6176
کویر,31744540,40674,7/4/2021,96503
کمینا,8481772,14830,7/4/2021,25785
اپرداز,84235200,40674,7/4/2021,256075
کویر,13800000,40674,7/4/2021,41952
لوتوس,5705000,29840,7/4/2021,17343
کویر,119570640,40674,7/4/2021,363495
وآوا,22160000,16361,7/4/2021,67366
کویر,5528000,40674,7/4/2021,16805
نوری,204539000,28471,7/4/2021,621799
کویر,5528000,40674,7/4/2021,16805
سرچشمه,23862040,40390,7/4/2021,72541
کویر,3565560,40674,7/4/2021,10839
کویر,1962440,40674,7/4/2021,5966
کویر,5528000,40674,7/4/2021,16805
کویر,126701760,40674,7/4/2021,385173
شگویا,5409600,1444,7/4/2021,16445
شنفت,48000000,21644,7/4/2021,145920
کمینا,10037600,14830,7/4/2021,30514
سرچشمه,25025700,40390,7/4/2021,76078
کمینا,6574628,14830,7/4/2021,19987
کویر,55280000,40674,7/4/2021,168051
سرچشمه,22600240,40390,7/4/2021,68705
سرچشمه,40489760,40390,7/4/2021,123089
شپنا,5935000,24374,7/4/2021,18042
غپاک,126731290,117,7/4/2021,385263
کویر,2736360,40674,7/4/2021,8319
کویر,15810080,40674,7/4/2021,48063
کویر,6910000,40674,7/4/2021,21006
سرچشمه,66062240,40390,7/4/2021,200829
سرچشمه,106552000,40390,7/4/2021,323918
وملی,6629310,690,7/4/2021,20153
سرچشمه,35000000,40390,7/4/2021,106400
وملی,308340,690,7/4/2021,937
کویر,9839840,40674,7/4/2021,29913
وملی,5241780,690,7/4/2021,15935
کویر,66170160,40674,7/4/2021,201157
برکت,5003800,20380,7/4/2021,15212
وملی,64905570,690,7/4/2021,197313
خودرو,30075000,27142,7/4/2021,91428
قصفها,8310000,13721,7/4/2021,25262
ولکار,5118815,23381,7/4/2021,15561
ضشنا8003,63800000,15962,7/4/2021,51040
کویر,3781200,40674,7/4/2021,11495
کسعدی,32086180,8464,7/4/2021,97542
کسعدی,30656900,8464,7/4/2021,93197
مفاخر,7622000,21062,7/4/2021,23171
سرچشمه,42000000,40390,7/4/2021,127680
سرچشمه,77000000,40390,7/4/2021,234080
سرچشمه,21000000,40390,7/4/2021,63840
قصفها,8891700,13721,7/4/2021,27031
سشرق,7584000,9863,7/4/2021,23055
شپنا,110212950,27251,7/4/2021,335047
شپنا,237400000,27251,7/4/2021,721696
شپنا,8487050,27251,7/4/2021,25801
همراه,5997000,40320,7/4/2021,18231
شپنا,24333500,27251,7/4/2021,73974
شپنا,71220000,27251,7/4/2021,216509
شپنا,18410370,27251,7/4/2021,55968
شپنا,4736130,27251,7/4/2021,14398
اپال,48361200,40383,7/4/2021,147018
سرچشمه,35000000,40390,7/4/2021,106400
سشمال,42650000,8464,7/4/2021,129656
خاور,6602400,29840,7/4/2021,20071
رمپنا,39450000,70163,7/4/2021,119928
اپال,7640000,40383,7/4/2021,23226
کویر,98890800,40674,7/4/2021,300628
کویر,24840000,40674,7/4/2021,75514
کویر,5520000,40674,7/4/2021,16781
اپال,7601800,40383,7/4/2021,23109
اپال,5252500,40383,7/4/2021,15968
کویر,129789000,40674,7/4/2021,394559
کویر,178654800,40674,7/4/2021,543111
کویر,5520000,40674,7/4/2021,16781
کویر,8286000,40674,7/4/2021,25189
کویر,5524000,40674,7/4/2021,16793
کویر,8286000,40674,7/4/2021,25189
اپال,7640000,40383,7/4/2021,23226
کویر,5524000,40674,7/4/2021,16793
کویر,8286000,40674,7/4/2021,25189
شبریز,22088600,19402,7/4/2021,67149
اپرداز,67996896,40674,7/4/2021,206711
اپال,7640000,40383,7/4/2021,23226
کویر,27580000,40674,7/4/2021,83843
وملی,45334800,690,7/4/2021,137818
شبریز,47570700,19402,7/4/2021,144615
کویر,26220000,40674,7/4/2021,79709
اپال,6073800,40383,7/4/2021,18464
شنفت,38400000,21644,7/4/2021,116736
شپنا,237400000,27251,7/4/2021,721696
سرچشمه,35000000,40390,7/4/2021,106400
ستران,104300000,31807,7/4/2021,317072
اپال,52448600,40383,7/4/2021,159444
وملی,19429200,690,7/4/2021,59065
پخش,92510000,16991,7/4/2021,281230
کویر,79419000,40674,7/4/2021,241434
کویر,175494600,40674,7/4/2021,533504
اپال,7640000,40383,7/4/2021,23226
سرچشمه,125412000,40390,7/4/2021,381252
فتوسا,5219500,14588,7/4/2021,15867
کویر,27600000,40674,7/4/2021,83904
اپال,7640000,40383,7/4/2021,23226
اپرداز,20866560,40674,7/4/2021,63434
کویر,23460000,40674,7/4/2021,71318
کویر,124434600,40674,7/4/2021,378281
سرچشمه,2394000,40390,7/4/2021,7278
سرچشمه,11606000,40390,7/4/2021,35282
کویر,78949800,40674,7/4/2021,240007
کویر,5520000,40674,7/4/2021,16781
قصفها,30497700,13721,7/4/2021,92713
اپال,7640000,40383,7/4/2021,23226
وبصادر,106500000,17258,7/4/2021,323760
اپال,57300000,40383,7/4/2021,174192
نوری,268530000,28471,7/4/2021,816331
کویر,5589000,40674,7/4/2021,16991
کویر,69000000,40674,7/4/2021,209760
شیران,21420000,8607,7/4/2021,65117
کویر,16435800,40674,7/4/2021,49965
اپال,19100000,40383,7/4/2021,58064
کویر,175494600,40674,7/4/2021,533504
ومدیر,1462064,688,7/4/2021,4445
ومدیر,993750,688,7/4/2021,3021
ومدیر,1462800,688,7/4/2021,4447
ومدیر,1462800,688,7/4/2021,4447
ومدیر,1462800,688,7/4/2021,4447
ومدیر,1462800,688,7/4/2021,4447
ومدیر,540600,688,7/4/2021,1643
ومدیر,810900,688,7/4/2021,2465
ومدیر,1462800,688,7/4/2021,4447
ومدیر,1462800,688,7/4/2021,4447
ومدیر,1462800,688,7/4/2021,4447
ومدیر,1462800,688,7/4/2021,4447
ومدیر,1462800,688,7/4/2021,4447
ومدیر,1462800,688,7/4/2021,4447
ومدیر,1438950,688,7/4/2021,4374
ضشنا8004,45517000,17197,7/4/2021,36414
اپال,1910000,40383,7/4/2021,5806
سرچشمه,28000000,40390,7/4/2021,85120
تاصیکو,39360000,70163,7/4/2021,119654
فملی,5079360,69812,7/4/2021,15441
اپال,22920000,40383,7/4/2021,69677
کویر,27580000,40674,7/4/2021,83843
سپاس,507900000,57693,7/4/2021,76185
اپال,7640000,40383,7/4/2021,23226
غپاک,104500000,117,7/4/2021,317680
سرچشمه,179200000,40390,7/4/2021,544768
سرچشمه,211806000,40390,7/4/2021,643890
سرچشمه,77000000,40390,7/4/2021,234080
غپاک,83400000,117,7/4/2021,253536
اپال,7640000,40383,7/4/2021,23226
اپال,8232100,40383,7/4/2021,25026
اپال,213920000,40383,7/4/2021,650317
اپال,213920000,40383,7/4/2021,650317
اپال,61120000,40383,7/4/2021,185805
اپال,61120000,40383,7/4/2021,185805
اپال,162350000,40383,7/4/2021,493544
ستران,46747260,31807,7/4/2021,142112
غپاک,104250000,117,7/4/2021,316920
کویر,62454910,40674,7/4/2021,189863
کویر,180593840,40674,7/4/2021,549005
کویر,98943250,40674,7/4/2021,300787
غپاک,83000000,117,7/4/2021,252320
اپال,7636000,40383,7/4/2021,23213
اپال,1909000,40383,7/4/2021,5803
اپال,7807810,40383,7/4/2021,23736
اپال,7636000,40383,7/4/2021,23213
کویر,13790000,40674,7/4/2021,41922
اپال,7636000,40383,7/4/2021,23213
ضشنا8004,9900000,17197,7/4/2021,7920
اپال,7636000,40383,7/4/2021,23213
اپال,7636000,40383,7/4/2021,23213
دانا,12085170,8464,7/4/2021,36739
کویر,20919430,40674,7/4/2021,63595
اپال,7636000,40383,7/4/2021,23213
کویر,138778380,40674,7/4/2021,421886
کویر,223111980,40674,7/4/2021,678260
کویر,103308660,40674,7/4/2021,314058
دانا,11864830,8464,7/4/2021,36069
اپال,6204250,40383,7/4/2021,18861
ضشنا8004,1980000,17197,7/4/2021,1584
رمپنا,15816000,70163,7/4/2021,48081
آریان,336975000,11408,7/4/2021,1024404
اپال,8590500,40383,7/4/2021,26115
اپرداز,4434144,40674,7/4/2021,13480
اپرداز,16701650,40674,7/4/2021,50773
آریان,110717712,11408,7/4/2021,336582
آریان,135000000,11408,7/4/2021,410400
آریان,8100000,11408,7/4/2021,24624
آریان,135000000,11408,7/4/2021,410400
کویر,321791130,40674,7/4/2021,978245
کویر,213724170,40674,7/4/2021,649721
کویر,261574920,40674,7/4/2021,795188
اپال,7636000,40383,7/4/2021,23213
آریان,623592000,11408,7/4/2021,1895720
ولکار,43725,8945,7/4/2021,133
ولکار,206700,8945,7/4/2021,628
ولکار,206700,8945,7/4/2021,628
ولکار,202725,8945,7/4/2021,616
ولکار,206700,8945,7/4/2021,628
ولکار,206700,8945,7/4/2021,628
ولکار,206700,8945,7/4/2021,628
ولکار,206700,8945,7/4/2021,628
ولکار,206700,8945,7/4/2021,628
ولکار,206700,8945,7/4/2021,628
ولکار,151050,8945,7/4/2021,459
ولکار,206700,8945,7/4/2021,628
ولکار,206700,8945,7/4/2021,628
ولکار,202725,8945,7/4/2021,616
ولکار,206700,8945,7/4/2021,628
ولکار,206700,8945,7/4/2021,628
ولکار,206700,8945,7/4/2021,628
ولکار,206700,8945,7/4/2021,628
ولکار,206700,8945,7/4/2021,628
ولکار,206700,8945,7/4/2021,628
ولکار,206700,8945,7/4/2021,628
ولکار,206700,8945,7/4/2021,628
ولکار,202725,8945,7/4/2021,616
ولکار,206700,8945,7/4/2021,628
اپال,162350000,40383,7/4/2021,493544
ولکار,155025,8945,7/4/2021,471
ولکار,206700,8945,7/4/2021,628
ولکار,206700,8945,7/4/2021,628
ولکار,206700,8945,7/4/2021,628
ولکار,206700,8945,7/4/2021,628
ولکار,2237925,8945,7/4/2021,6803
اپال,7636000,40383,7/4/2021,23213
کویر,407000000,40674,7/4/2021,1237280
کویر,5500000,40674,7/4/2021,16720
کویر,45441000,40674,7/4/2021,138141
اپال,71987900,40383,7/4/2021,218843
اپال,7926500,40383,7/4/2021,24097
اپال,5004200,40383,7/4/2021,15213
اپال,7487200,40383,7/4/2021,22761
اپال,7640000,40383,7/4/2021,23226
کویر,41310000,40674,7/4/2021,125582
اپال,19100000,40383,7/4/2021,58064
کویر,88362090,40674,7/4/2021,268621
کویر,89732500,40674,7/4/2021,272787
کویر,82620000,40674,7/4/2021,251165
وملی,296257500,41215,7/4/2021,900623
کویر,344456550,40674,7/4/2021,1047148
سرچشمه,6990000,40390,7/4/2021,21250
وبصادر,106000000,17258,7/4/2021,322240
خساپا,9175000,9751,7/4/2021,27892
کویر,82620000,40674,7/4/2021,251165
کویر,115641760,40674,7/4/2021,351551
اپال,4450300,40383,7/4/2021,13529
اپال,7640000,40383,7/4/2021,23226
ضشنا8003,6200000,15962,7/4/2021,4960
وملی,11542500,41215,7/4/2021,35089
زکوثر,12460000,14830,7/4/2021,37878
